"id","issint","threat.MMR","threat.PHL","imp.MMR","imp.PHL","odaimp","potential.MMR","potential.PHL","threat.CHN","threat.CHN.3cat","treatment","treat_China","treat_MMR","treat_PHL","med_econ","med_secu","med_repu","med_effi","cancel_aid","cancel_aid_3cat","cancel_aid_2cat","fem","age","right","ide3","comply"
1767,"2","0","0","0","2",1,"1","2",1,"2",1,0,1,0,"5","5","5","1","3","1",0,0,50,1,"2",5
1768,"2","0","0","0","0",0,"0","0",1,"2",5,0,0,1,"3","4","3","3","8","3",1,1,56,1,"2",1
1769,"1","2","1","2","2",1,"2","2",1,"2",2,1,1,0,"3","3","3","3","6","2",1,0,52,0,"1",1
1772,"1","0","0","2","2",1,"2","2",1,"2",2,1,1,0,"3","3","3","3","4","2",1,0,67,0,"0",1
1773,"2","1","1","2","2",1,"2","2",1,"2",5,0,0,1,"3","3","3","4","4","2",1,0,69,1,"2",1
1774,"1","0","0","1","1",1,"2","1",1,"2",1,0,1,0,"4","3","3","3","4","2",1,1,25,1,"2",1
1775,"2","0","1","2","2",1,"2","2",1,"2",3,1,0,1,"5","4","5","3","2","1",0,0,45,0,"1",1
1778,"1","1","1","1","1",1,"1","1",0,"0",2,1,1,0,"2","4","3","2","4","2",1,0,29,0,"1",1
1779,"1","0","0","1","1",1,"1","1",1,"2",2,1,1,0,"4","4","3","2","8","3",1,1,64,1,"2",1
1780,"0","1","1","1","1",NA,"1","1",1,"1",5,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,49,NA,NA,1
1781,"2","0","1","2","2",0,"2","0",1,"2",5,0,0,1,"4","4","3","4","6","2",1,0,60,0,"1",5
1782,"2","0","0","2","2",1,"0","0",1,"2",5,0,0,1,"4","3","3","3","6","2",1,0,50,1,"2",1
1783,"1","0","0","2","2",1,"1","1",1,"2",2,1,1,0,"4","5","3","3","7","3",1,0,67,1,"2",1
